Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Bergen - Florida;SN50540;01.1983;461
Bergen - Florida;SN50540;02.1983;45,3
Bergen - Florida;SN50540;03.1983;248,8
Bergen - Florida;SN50540;04.1983;104,1
Bergen - Florida;SN50540;05.1983;142,7
Bergen - Florida;SN50540;06.1983;99,1
Bergen - Florida;SN50540;07.1983;144,3
Bergen - Florida;SN50540;08.1983;192
Bergen - Florida;SN50540;09.1983;279
Bergen - Florida;SN50540;10.1983;586,3
Bergen - Florida;SN50540;11.1983;282
Bergen - Florida;SN50540;12.1983;314,6
Bergen - Florida;SN50540;01.1984;196,3
Bergen - Florida;SN50540;02.1984;106,5
Bergen - Florida;SN50540;03.1984;52
Bergen - Florida;SN50540;04.1984;144,7
Bergen - Florida;SN50540;05.1984;34,6
Bergen - Florida;SN50540;06.1984;121,6
Bergen - Florida;SN50540;07.1984;75,8
Bergen - Florida;SN50540;08.1984;156,2
Bergen - Florida;SN50540;09.1984;74,9
Bergen - Florida;SN50540;10.1984;371,3
Bergen - Florida;SN50540;11.1984;165,1
Bergen - Florida;SN50540;12.1984;261,4
Bergen - Florida;SN50540;01.1985;95,4
Bergen - Florida;SN50540;02.1985;145,4
Bergen - Florida;SN50540;03.1985;165,1
Bergen - Florida;SN50540;04.1985;94,2
Bergen - Florida;SN50540;05.1985;50,3
Bergen - Florida;SN50540;06.1985;37,1
Bergen - Florida;SN50540;07.1985;203,3
Bergen - Florida;SN50540;08.1985;325,4
Bergen - Florida;SN50540;09.1985;188,5
Bergen - Florida;SN50540;10.1985;307,4
Bergen - Florida;SN50540;11.1985;101,1
Bergen - Florida;SN50540;12.1985;252,8
Bergen - Florida;SN50540;01.1986;153,5
Bergen - Florida;SN50540;02.1986;4,7
Bergen - Florida;SN50540;03.1986;227,3
Bergen - Florida;SN50540;04.1986;17,2
Bergen - Florida;SN50540;05.1986;197,6
Bergen - Florida;SN50540;06.1986;109
Bergen - Florida;SN50540;07.1986;188,2
Bergen - Florida;SN50540;08.1986;117,3
Bergen - Florida;SN50540;09.1986;477,8
Bergen - Florida;SN50540;10.1986;419,4
Bergen - Florida;SN50540;11.1986;474,2
Bergen - Florida;SN50540;12.1986;392,6
Bergen - Florida;SN50540;01.1987;79,2
Bergen - Florida;SN50540;02.1987;147,8
Bergen - Florida;SN50540;03.1987;84,4
Bergen - Florida;SN50540;04.1987;80,6
Bergen - Florida;SN50540;05.1987;99,5
Bergen - Florida;SN50540;06.1987;50,7
Bergen - Florida;SN50540;07.1987;56
Bergen - Florida;SN50540;08.1987;150,8
Bergen - Florida;SN50540;09.1987;331,2
Bergen - Florida;SN50540;10.1987;214,1
Bergen - Florida;SN50540;11.1987;176,8
Bergen - Florida;SN50540;12.1987;239
Bergen - Florida;SN50540;01.1988;235,6
Bergen - Florida;SN50540;02.1988;174,6
Bergen - Florida;SN50540;03.1988;82,1
Bergen - Florida;SN50540;04.1988;158,3
Bergen - Florida;SN50540;05.1988;83,5
Bergen - Florida;SN50540;06.1988;25
Bergen - Florida;SN50540;07.1988;185
Bergen - Florida;SN50540;08.1988;269,1
Bergen - Florida;SN50540;09.1988;402,4
Bergen - Florida;SN50540;10.1988;174,5
Bergen - Florida;SN50540;11.1988;235,7
Bergen - Florida;SN50540;12.1988;315,9
Bergen - Florida;SN50540;01.1989;478,4
Bergen - Florida;SN50540;02.1989;299,3
Bergen - Florida;SN50540;03.1989;328
Bergen - Florida;SN50540;04.1989;61,1
Bergen - Florida;SN50540;05.1989;198,2
Bergen - Florida;SN50540;06.1989;200,2
Bergen - Florida;SN50540;07.1989;152,3
Bergen - Florida;SN50540;08.1989;351,7
Bergen - Florida;SN50540;09.1989;268,5
Bergen - Florida;SN50540;10.1989;205,2
Bergen - Florida;SN50540;11.1989;129,6
Bergen - Florida;SN50540;12.1989;194,7
Bergen - Florida;SN50540;01.1990;367,2
Bergen - Florida;SN50540;02.1990;322,1
Bergen - Florida;SN50540;03.1990;431,6
Bergen - Florida;SN50540;04.1990;295,4
Bergen - Florida;SN50540;05.1990;36,5
Bergen - Florida;SN50540;06.1990;109,3
Bergen - Florida;SN50540;07.1990;134,7
Bergen - Florida;SN50540;08.1990;200,9
Bergen - Florida;SN50540;09.1990;310
Bergen - Florida;SN50540;10.1990;259,2
Bergen - Florida;SN50540;11.1990;160,1
Bergen - Florida;SN50540;12.1990;365
Bergen - Florida;SN50540;01.1991;209,9
Bergen - Florida;SN50540;02.1991;95,6
Bergen - Florida;SN50540;03.1991;207,9
Bergen - Florida;SN50540;04.1991;148,1
Bergen - Florida;SN50540;05.1991;84
Bergen - Florida;SN50540;06.1991;144,6
Bergen - Florida;SN50540;07.1991;95,2
Bergen - Florida;SN50540;08.1991;244
Bergen - Florida;SN50540;09.1991;331,3
Bergen - Florida;SN50540;10.1991;139,1
Bergen - Florida;SN50540;11.1991;373,2
Bergen - Florida;SN50540;12.1991;355,6
Bergen - Florida;SN50540;01.1992;391,6
Bergen - Florida;SN50540;02.1992;334,1
Bergen - Florida;SN50540;03.1992;321,4
Bergen - Florida;SN50540;04.1992;150,4
Bergen - Florida;SN50540;05.1992;173,9
Bergen - Florida;SN50540;06.1992;69,1
Bergen - Florida;SN50540;07.1992;205,9
Bergen - Florida;SN50540;08.1992;247,9
Bergen - Florida;SN50540;09.1992;265,1
Bergen - Florida;SN50540;10.1992;64,5
Bergen - Florida;SN50540;11.1992;363,3
Bergen - Florida;SN50540;12.1992;432,7
Bergen - Florida;SN50540;01.1993;359,8
Bergen - Florida;SN50540;02.1993;211,6
Bergen - Florida;SN50540;03.1993;206,1
Bergen - Florida;SN50540;04.1993;74,2
Bergen - Florida;SN50540;05.1993;51,7
Bergen - Florida;SN50540;06.1993;75,7
Bergen - Florida;SN50540;07.1993;153,4
Bergen - Florida;SN50540;08.1993;177,5
Bergen - Florida;SN50540;09.1993;63,4
Bergen - Florida;SN50540;10.1993;112,6
Bergen - Florida;SN50540;11.1993;61,6
Bergen - Florida;SN50540;12.1993;296,2
Bergen - Florida;SN50540;01.1994;286,1
Bergen - Florida;SN50540;02.1994;16,3
Bergen - Florida;SN50540;03.1994;335,8
Bergen - Florida;SN50540;04.1994;252,7
Bergen - Florida;SN50540;05.1994;101,5
Bergen - Florida;SN50540;06.1994;304,8
Bergen - Florida;SN50540;07.1994;116,1
Bergen - Florida;SN50540;08.1994;126,8
Bergen - Florida;SN50540;09.1994;180
Bergen - Florida;SN50540;10.1994;206,9
Bergen - Florida;SN50540;11.1994;195,1
Bergen - Florida;SN50540;12.1994;427,2
Bergen - Florida;SN50540;01.1995;245,8
Bergen - Florida;SN50540;02.1995;323,6
Bergen - Florida;SN50540;03.1995;277,2
Bergen - Florida;SN50540;04.1995;171,6
Bergen - Florida;SN50540;05.1995;96
Bergen - Florida;SN50540;06.1995;81
Bergen - Florida;SN50540;07.1995;247,6
Bergen - Florida;SN50540;08.1995;100,4
Bergen - Florida;SN50540;09.1995;157,5
Bergen - Florida;SN50540;10.1995;543
Bergen - Florida;SN50540;11.1995;255,7
Bergen - Florida;SN50540;12.1995;143,1
Bergen - Florida;SN50540;01.1996;29,7
Bergen - Florida;SN50540;02.1996;166,8
Bergen - Florida;SN50540;03.1996;51,1
Bergen - Florida;SN50540;04.1996;73,2
Bergen - Florida;SN50540;05.1996;63,8
Bergen - Florida;SN50540;06.1996;145,6
Bergen - Florida;SN50540;07.1996;164,4
Bergen - Florida;SN50540;08.1996;90,5
Bergen - Florida;SN50540;09.1996;74,7
Bergen - Florida;SN50540;10.1996;407,7
Bergen - Florida;SN50540;11.1996;226
Bergen - Florida;SN50540;12.1996;195,6
Bergen - Florida;SN50540;01.1997;156,4
Bergen - Florida;SN50540;02.1997;365,9
