pop	light	fertil	treat	ident	meas	leaf	bract
51	h	h	1	1	1	93.34	22.85
51	h	h	1	1	2	119.23	24.12
51	h	h	1	2	1	75.78	24.00
51	h	h	1	2	2	111.82	24.45
51	h	h	1	3	1	98.56	15.71
51	h	h	1	3	2	86.18	22.44
51	h	h	1	4	1	99.70	24.24
51	h	h	1	4	2	109.86	22.48
51	h	h	1	5	1	73.00	18.60
51	h	h	1	5	2	104.92	19.71
51	h	h	1	6	1	92.55	20.03
51	h	h	1	6	2	81.45	20.28
51	h	h	1	7	1	98.26	17.42
51	h	h	1	7	2	96.22	NA
51	h	h	1	8	1	84.77	18.73
51	h	h	1	8	2	96.05	17.26
51	h	h	1	9	1	84.24	20.45
51	h	h	1	9	2	77.95	19.53
51	h	h	1	10	1	91.59	22.04
51	h	h	1	10	2	108.06	19.88
51	h	h	1	11	1	74.49	21.06
51	h	h	1	11	2	87.05	18.55
51	h	h	1	12	1	95.64	16.28
51	h	h	1	12	2	103.20	18.49
51	h	h	1	13	1	78.44	21.02
51	h	h	1	13	2	99.74	18.51
51	h	h	1	14	1	101.72	23.26
51	h	h	1	14	2	80.54	25.12
51	h	h	1	15	1	84.14	18.09
51	h	h	1	15	2	97.86	19.33
51	h	h	1	16	1	112.91	19.99
51	h	h	1	16	2	95.45	24.21
51	h	h	1	17	1	74.02	21.37
51	h	h	1	17	2	98.02	19.28
51	h	h	1	18	1	86.45	25.52
51	h	h	1	18	2	95.78	21.68
51	h	h	1	19	1	78.73	20.52
51	h	h	1	19	2	74.72	20.70
51	h	h	1	20	1	86.77	18.09
51	h	h	1	20	2	107.41	20.08
51	h	h	1	21	1	87.45	25.82
51	h	h	1	21	2	111.77	21.82
51	h	h	1	22	1	93.43	19.82
51	h	h	1	22	2	85.96	17.14
51	h	h	1	23	1	92.45	21.02
51	h	h	1	23	2	89.99	21.52
51	h	h	1	24	1	89.98	27.51
51	h	h	1	24	2	86.38	18.13
51	h	h	1	25	1	73.52	19.92
51	h	h	1	25	2	99.80	22.71
51	h	h	1	26	1	88.31	17.82
51	h	h	1	26	2	83.87	20.34
51	h	h	1	27	1	86.32	19.12
51	h	h	1	27	2	86.08	18.96
51	h	h	1	28	1	81.68	23.15
51	h	h	1	28	2	103.74	21.97
51	h	h	1	29	1	88.01	22.18
51	h	h	1	29	2	80.02	23.97
51	h	h	1	30	1	113.31	18.54
51	h	h	1	30	2	102.70	25.60
51	h	h	1	31	1	101.49	20.26
51	h	h	1	31	2	89.70	20.41
