Species,MaxDepth,BodySizeKG,Group
Orca,264,4500,Twhale
WeddellSeal,741,500,Pinniped
LongFinnedPilot,828,1300,Twhale
ShortFinnedPilot,1019,2000,Twhale
BlainvillesBeakedWhale,1408,900,Twhale
NorthernBottlenoseWhale,1453,8000,Twhale
SouthernElephantSeal,1653,3000,Pinniped
BairdsBeakedWhale,1777,12000,Twhale
SpermWhale,2035,27000,Twhale
CuviersBeakedWhale,2992,2500,Twhale
HomoSapien,112,85,Other
BlueWhale,172.8,100000,Bwhale
FinWhale,128.7,60000,Bwhale
HumpbackWhale,240,36000,Bwhale
SouthernRightWhale,180,54000,Bwhale
BrydesWhale,300,41000,Bwhale
Walrus,450,1500,Pinniped
LeopardSeal,16.6,400,Pinniped
HarbourSeal,481,85,Pinniped
CaliforniaSeaLion,536,226,Pinniped
NZFurSeal,238,100,Pinniped
NZSeaLion,550,110,Pinniped
MinkeWhale,106,8000,Bwhale
BelugaWhale,1250,1500,Twhale
CommonDolphin,260,80,Twhale
HarbourPorpoise,100,55,Twhale
Narwhal,1000,1250,Twhale
PolarBear,13.9,500,Other
SeaOtter,101,30,Other
BottlenoseDolphin,300,450,Twhale
