site,plot,size,记录名称,中名,species,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,cover,production,investigator,recorder,time,Total cover(%),AH1,AH2,AH3,AH4,AH5
H,I-2,50cm*50cm,报春,,Primula amethystina subsp.argutidens,0.9,0.8,,,,,,,,,0.9,0.0318 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-4,50cm*50cm,草莓,,Fragaria orientalis,2,1.1,,,,,,,,,0.8,,张莉,彭阿辉,2015.07.25,,,,,,
H,I-2,50cm*50cm,草玉梅,,Anemone demissa,0.8,,,,,,,,,,0.2,0.0057 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-3,50cm*50cm,草玉梅,,Anemone demissa,1.2,2.3,,,,,,,,,0.7,0.1746 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-4,50cm*50cm,草玉梅,,Anemone demissa,3,,,,,,,,,,1,0.0690 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-5,50cm*50cm,草玉梅,,Anemone demissa,1.1,,,,,,,,,,0.8,0.0721 ,张莉,谭开军,2015.07.26,,,,,,
H,I-6,50cm*50cm,草玉梅,,Anemone demissa,1.2,2,,,,,,,,,0.4,0.0864 ,张莉,谭开军,2015.07.26,,,,,,
H,I-7,50cm*50cm,草玉梅,,Anemone demissa,2.6,1.8,3,1.5,,,,,,,1,0.2695 ,张莉,谭开军,2015.07.26,,,,,,
H,I-8,50cm*50cm,草玉梅,,Anemone demissa,1.4,2.4,,,,,,,,,0.5,0.0694 ,张莉,谭开军,2015.07.26,,,,,,
H,I-9,50cm*50cm,草玉梅,,Anemone demissa,1.5,2.4,,,,,,,,,2,0.3087 ,张莉,彭阿辉,2015.07.29,,,,,,
H,I-10,50cm*50cm,草玉梅,,Anemone demissa,3.5,2.5,2.1,,,,,,,,2,0.1647 ,张莉,何小红,2015.08.01,,,,,,
H,I-11,50cm*50cm,草玉梅,,Anemone demissa,1.1,1.3,,,,,,,,,0.6,0.0775 ,张莉,何小红,2015.08.01,,,,,,
H,I-13,50cm*50cm,草玉梅,,Anemone demissa,2.5,,,,,,,,,,0.5,0.2053 ,张莉,何小红,2015.08.01,,,,,,
H,I-3,50cm*50cm,抽葶藁本,,Ligusticum scapiforme,2.3,1.8,,,,,,,,,1.2,0.4523 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-5,50cm*50cm,抽葶藁本,,Ligusticum scapiforme,2.5,,,,,,,,,,1.2,0.2078 ,张莉,谭开军,2015.07.26,,,,,,
H,I-12,50cm*50cm,抽葶藁本,,Ligusticum scapiforme,1.3,,,,,,,,,,1.1,0.1996 ,张莉,何小红,2015.08.01,,,,,,
H,I-1,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,1.1,1,2.2,0.8,1.5,2.3,2.8,,,,2.5,0.1845 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-2,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,0.8,1,,,,,,,,,1.5,0.0847 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-3,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,2.1,2.2,2.5,,,,,,,,1.3,0.1602 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-4,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,0.8,0.6,0.8,0.6,0.4,0.5,0.3,0.8,,,5,0.6007 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-5,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,1.2,1.1,2.5,0.8,2.3,0.8,0.5,0.8,0.4,,2,0.3017 ,张莉,谭开军,2015.07.26,,,,,,
H,I-6,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,0.5,0.8,1.2,0.3,1.5,1.3,1.5,1.1,1.2,,4,0.2881 ,张莉,谭开军,2015.07.26,,,,,,
H,I-7,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,4.5,3.4,1.2,3,1.1,1.1,2.4,1.5,2.5,1.8,5,0.6295 ,张莉,谭开军,2015.07.26,,,,,,
H,I-8,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,2,1.5,1,,,,,,,,1.5,0.0442 ,张莉,谭开军,2015.07.26,,,,,,
H,I-9,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,0.5,0.9,0.8,1.1,1.5,0.9,0.6,0.9,,,1.5,0.1718 ,张莉,彭阿辉,2015.07.29,,,,,,
H,I-10,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,1.1,1.6,1.8,1.2,1.3,1.4,2.3,,,,3.1,0.4252 ,张莉,何小红,2015.08.01,,,,,,
H,I-11,50cm*50cm,川西小黄菊,,Tanacetum tatsienense,1.8,1.7,1.6,3.8,3.6,3.4,3.1,2.8,1.1,1.3,2.8,0.9991 ,张莉,何小红,2015.08.01,,,,,,
