Dato,Tid,Lufttemperatur
2020-04-20,00:00,5.8
2020-04-20,00:10,5.9
2020-04-20,00:20,6
2020-04-20,00:30,5.9
2020-04-20,00:40,5.9
2020-04-20,00:50,5.8
2020-04-20,01:00,5.6
2020-04-20,01:10,5.6
2020-04-20,01:20,5.4
2020-04-20,01:30,5.1
2020-04-20,01:40,5.3
2020-04-20,01:50,5.5
2020-04-20,02:00,5.3
2020-04-20,02:10,5
2020-04-20,02:20,4.7
2020-04-20,02:30,4.9
2020-04-20,02:40,4.8
2020-04-20,02:50,4.7
2020-04-20,03:00,4.7
2020-04-20,03:10,4.8
2020-04-20,03:20,4.7
2020-04-20,03:30,4.5
2020-04-20,03:40,4.7
2020-04-20,03:50,5
2020-04-20,04:00,4.6
2020-04-20,04:10,4.3
2020-04-20,04:20,4.4
2020-04-20,04:30,4.4
2020-04-20,04:40,4.7
2020-04-20,04:50,4.7
2020-04-20,05:00,4.6
2020-04-20,05:10,4.8
2020-04-20,05:20,4.7
2020-04-20,05:30,4.8
2020-04-20,05:40,5.3
2020-04-20,05:50,5.3
2020-04-20,06:00,5.4
2020-04-20,06:10,6
2020-04-20,06:20,7.1
2020-04-20,06:30,7.7
2020-04-20,06:40,7.9
2020-04-20,06:50,8.3
2020-04-20,07:00,8.4
2020-04-20,07:10,9.1
2020-04-20,07:20,9.5
2020-04-20,07:30,10.2
2020-04-20,07:40,10.6
2020-04-20,07:50,10.3
2020-04-20,08:00,11.2
2020-04-20,08:10,11.5
2020-04-20,08:20,11.5
2020-04-20,08:30,12.6
2020-04-20,08:40,12.2
2020-04-20,08:50,12.3
2020-04-20,09:00,12.9
2020-04-20,09:10,13.6
2020-04-20,09:20,12.9
2020-04-20,09:30,13.5
2020-04-20,09:40,13.7
2020-04-20,09:50,13.8
2020-04-20,10:00,13.7
2020-04-20,10:10,13.8
2020-04-20,10:20,13.7
2020-04-20,10:30,13.7
2020-04-20,10:40,14.5
2020-04-20,10:50,14.5
2020-04-20,11:00,14.8
2020-04-20,11:10,15.1
2020-04-20,11:20,14.9
2020-04-20,11:30,14.8
2020-04-20,11:40,15.4
2020-04-20,11:50,16.6
2020-04-20,12:00,16.8
2020-04-20,12:10,16.2
2020-04-20,12:20,16.1
2020-04-20,12:30,16.3
2020-04-20,12:40,16.2
2020-04-20,12:50,16
2020-04-20,13:00,16.3
2020-04-20,13:10,16.7
2020-04-20,13:20,16.2
2020-04-20,13:30,16
2020-04-20,13:40,16.1
2020-04-20,13:50,16.1
2020-04-20,14:00,16.1
2020-04-20,14:10,16.3
2020-04-20,14:20,16.4
2020-04-20,14:30,16.4
2020-04-20,14:40,17.3
2020-04-20,14:50,15.3
2020-04-20,15:00,15
2020-04-20,15:10,14.7
2020-04-20,15:20,14.4
2020-04-20,15:30,14.5
2020-04-20,15:40,14.1
2020-04-20,15:50,13.9
2020-04-20,16:00,13.8
2020-04-20,16:10,14
2020-04-20,16:20,13.8
2020-04-20,16:30,13.9
2020-04-20,16:40,13.7
2020-04-20,16:50,13.7
2020-04-20,17:00,13.7
2020-04-20,17:10,13.7
2020-04-20,17:20,13.6
2020-04-20,17:30,13.6
2020-04-20,17:40,13.4
2020-04-20,17:50,13.4
2020-04-20,18:00,13.2
2020-04-20,18:10,13
2020-04-20,18:20,12.9
2020-04-20,18:30,12.8
2020-04-20,18:40,12.6
2020-04-20,18:50,12.6
2020-04-20,19:00,12.5
2020-04-20,19:10,12.1
2020-04-20,19:20,11.9
2020-04-20,19:30,11.5
2020-04-20,19:40,11.3
2020-04-20,19:50,11.1
2020-04-20,20:00,10.8
2020-04-20,20:10,10.6
2020-04-20,20:20,10.4
2020-04-20,20:30,10.4
2020-04-20,20:40,10.2
2020-04-20,20:50,9.9
2020-04-20,21:00,9.7
2020-04-20,21:10,9.5
2020-04-20,21:20,9.4
2020-04-20,21:30,9.4
2020-04-20,21:40,9.3
2020-04-20,21:50,9.1
2020-04-20,22:00,8.8
2020-04-20,22:10,8.7
2020-04-20,22:20,8.7
2020-04-20,22:30,8.5
2020-04-20,22:40,8.1
2020-04-20,22:50,7.9
2020-04-20,23:00,7.7
2020-04-20,23:10,7.3
2020-04-20,23:20,7.5
2020-04-20,23:30,7.3
2020-04-20,23:40,7.6
2020-04-20,23:50,7.7
2020-04-21,00:00,7.7
2020-04-21,00:10,7.5
2020-04-21,00:20,7.4
2020-04-21,00:30,7.3
2020-04-21,00:40,7.4
2020-04-21,00:50,7.5
2020-04-21,01:00,7.5
2020-04-21,01:10,7.5
2020-04-21,01:20,7.4
2020-04-21,01:30,7.3
2020-04-21,01:40,7.2
2020-04-21,01:50,7.1
2020-04-21,02:00,7
2020-04-21,02:10,6.9
2020-04-21,02:20,6.6
2020-04-21,02:30,6.8
2020-04-21,02:40,6.5
2020-04-21,02:50,6.7
2020-04-21,03:00,6.9
2020-04-21,03:10,7
2020-04-21,03:20,6.5
2020-04-21,03:30,6.8
2020-04-21,03:40,6.7
2020-04-21,03:50,6.5
2020-04-21,04:00,6.5
2020-04-21,04:10,6.7
2020-04-21,04:20,6.6
2020-04-21,04:30,6.6
2020-04-21,04:40,6.7
2020-04-21,04:50,6.6
2020-04-21,05:00,6.6
2020-04-21,05:10,7
2020-04-21,05:20,7.2
2020-04-21,05:30,7.6
2020-04-21,05:40,7.9
2020-04-21,05:50,8.4
2020-04-21,06:00,8.8
2020-04-21,06:10,10.1
2020-04-21,06:20,10.7
2020-04-21,06:30,11.4
2020-04-21,06:40,11.1
2020-04-21,06:50,11
2020-04-21,07:00,12.4
2020-04-21,07:10,12.2
2020-04-21,07:20,12
2020-04-21,07:30,12.8
2020-04-21,07:40,13.8
2020-04-21,07:50,13.8
2020-04-21,08:00,14.9
2020-04-21,08:10,15.2
2020-04-21,08:20,14.5
2020-04-21,08:30,14.7
2020-04-21,08:40,14.9
2020-04-21,08:50,15.6
2020-04-21,09:00,15.8
2020-04-21,09:10,16
2020-04-21,09:20,15.9
2020-04-21,09:30,15.9
2020-04-21,09:40,16
2020-04-21,09:50,16
2020-04-21,10:00,16.1
2020-04-21,10:10,16
2020-04-21,10:20,16.6
2020-04-21,10:30,16.1
2020-04-21,10:40,16.7
2020-04-21,10:50,16.5
2020-04-21,11:00,16.9
2020-04-21,11:10,17
2020-04-21,11:20,17.1
2020-04-21,11:30,16.6
2020-04-21,11:40,16.6
2020-04-21,11:50,16.3
2020-04-21,12:00,16.7
2020-04-21,12:10,16.3
2020-04-21,12:20,16.4
2020-04-21,12:30,16.2
2020-04-21,12:40,16.8
2020-04-21,12:50,16.5
2020-04-21,13:00,16.9
2020-04-21,13:10,16.6
2020-04-21,13:20,16.9
2020-04-21,13:30,16.6
2020-04-21,13:40,16.7
2020-04-21,13:50,16.7
2020-04-21,14:00,16.2
2020-04-21,14:10,16.5
2020-04-21,14:20,16.5
2020-04-21,14:30,16.7
2020-04-21,14:40,16.7
2020-04-21,14:50,17.1
2020-04-21,15:00,16.8
2020-04-21,15:10,16.4
2020-04-21,15:20,16.8
2020-04-21,15:30,16.6
2020-04-21,15:40,16.9
2020-04-21,15:50,16.9
2020-04-21,16:00,17.1
2020-04-21,16:10,17.1
2020-04-21,16:20,17.2
2020-04-21,16:30,17
2020-04-21,16:40,16.9
2020-04-21,16:50,16.6
2020-04-21,17:00,16.4
2020-04-21,17:10,16.3
2020-04-21,17:20,16.1
2020-04-21,17:30,16.2
2020-04-21,17:40,15.8
2020-04-21,17:50,15.6
2020-04-21,18:00,15.6
2020-04-21,18:10,15.4
2020-04-21,18:20,15.1
2020-04-21,18:30,14.9
2020-04-21,18:40,14.7
2020-04-21,18:50,14.7
2020-04-21,19:00,14.5
2020-04-21,19:10,14
2020-04-21,19:20,13.8
2020-04-21,19:30,13.6
2020-04-21,19:40,13.4
2020-04-21,19:50,13
2020-04-21,20:00,12.8
2020-04-21,20:10,12.8
2020-04-21,20:20,12.6
2020-04-21,20:30,12.5
2020-04-21,20:40,12.4
2020-04-21,20:50,12.2
2020-04-21,21:00,12.1
2020-04-21,21:10,11.9
2020-04-21,21:20,11.7
2020-04-21,21:30,11.6
2020-04-21,21:40,11.4
2020-04-21,21:50,11.3
2020-04-21,22:00,11.2
2020-04-21,22:10,11
2020-04-21,22:20,10.8
2020-04-21,22:30,10.9
2020-04-21,22:40,10.7
2020-04-21,22:50,10.1
2020-04-21,23:00,10
2020-04-21,23:10,9.8
2020-04-21,23:20,10.1
2020-04-21,23:30,9.5
2020-04-21,23:40,9.1
2020-04-21,23:50,9.4
2020-04-22,00:00,9.4
2020-04-22,00:10,9.5
2020-04-22,00:20,9.3
2020-04-22,00:30,9.4
2020-04-22,00:40,9.3
2020-04-22,00:50,8.8
2020-04-22,01:00,9
2020-04-22,01:10,8.7
2020-04-22,01:20,9
2020-04-22,01:30,8.9
2020-04-22,01:40,8.9
2020-04-22,01:50,8.7
2020-04-22,02:00,8.8
2020-04-22,02:10,8.6
2020-04-22,02:20,8
2020-04-22,02:30,8
2020-04-22,02:40,8.3
2020-04-22,02:50,8.1
2020-04-22,03:00,8.1
2020-04-22,03:10,8
2020-04-22,03:20,8
2020-04-22,03:30,7.9
