Project,Year,Date,Site,Treatment,PlotID,Individual_nr,ID,Taxon,Trait,Value,Elevation_m,Latitude_N,Longitude_E
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,Plant_Height_cm,3,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,Wet_Mass_g,0.3441,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,Dry_Mass_g,0.076,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,Leaf_Thickness_mm,0.395,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,Leaf_Area_cm2,8.025,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,SLA_cm2_g,105.5921052631579,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,LDMC,0.2208660273176402,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,C_percent,36.57224438578343,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,N_percent,3.132710424519644,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,CN_ratio,11.674313750652919,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,dN15_permil,4.48832120895386,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,dC13_permil,-27.5795606231689,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,P_percent,0.41658412193853633,80,78.183,15.75
ITEX,2018,2018-07-19,CH,CTL,CH-7,3,BWS2352,equisetum arvense,NP_ratio,7.519994785067325,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AEC8296,silene acaulis,Plant_Height_cm,2,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AEC8296,silene acaulis,Leaf_Thickness_mm,0.12000000000000001,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,Plant_Height_cm,3,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,Wet_Mass_g,0.01145,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,Dry_Mass_g,0.004333333333333333,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,Leaf_Thickness_mm,0.16066666666666665,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,Leaf_Area_cm2,0.3356666666666666,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,SLA_cm2_g,77.46153846153845,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,LDMC,0.37845705967976706,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,C_percent,44.94,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,N_percent,1.1,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,CN_ratio,40.85454545454545,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,dN15_permil,-7.86859798431397,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,dC13_permil,-31.93561378479,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,P_percent,0.03412436218517264,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,dryas octopetala,NP_ratio,32.23503472477972,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,Plant_Height_cm,2,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,Wet_Mass_g,0.012950000000000001,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,Dry_Mass_g,0.0055000000000000005,80,78.183,15.75
